incident_id,date,n_killed,n_deaths < 2,n_injured,n_guns_involved,,,"Guns>1, Deaths>2","Guns=1, Deaths>2","Guns=1, Deaths<=2","Guns>1, Deaths<=2",,,Occasions where number of guns>1,Occasions where number of deaths>2
101372,27/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101379,27/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101393,27/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101450,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101528,28/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101533,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101557,28/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
101563,28/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101637,25/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101639,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101725,28/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101753,28/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101805,23/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101807,29/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101828,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101833,25/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101889,28/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101921,24/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101927,29/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101960,28/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102087,30/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
102098,29/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102156,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102172,30/01/2014,2,FALSE,1,1,FALSE,,,,,,,,,
102205,29/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102235,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102239,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102254,30/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
102260,28/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102265,29/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102314,29/01/2014,0,TRUE,0,3,FALSE,,,,,,,,,
102322,28/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102368,13/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102464,30/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102482,23/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102487,25/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102494,30/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102511,27/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102545,31/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
102627,01/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102630,31/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102654,25/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
102659,31/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102714,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102749,30/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
102752,01/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102763,01/02/2014,2,FALSE,0,1,FALSE,,,,,,,,,
102854,01/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102868,31/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
102908,31/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102923,28/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
102933,23/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
103026,03/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
103045,01/02/2014,2,FALSE,0,1,FALSE,,,,,,,,,
103049,02/02/2014,0,TRUE,1,6,FALSE,,,,,,,,,
103132,01/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103258,02/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
103355,01/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103396,01/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
103428,01/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103517,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103521,03/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103538,03/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
103592,02/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
103607,03/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
103704,04/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
103777,03/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
103785,02/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103802,04/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
103820,03/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
103828,04/02/2014,0,TRUE,1,2,FALSE,,,,,,,,,
103979,04/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104016,05/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104030,04/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104100,30/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104109,29/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
104126,03/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104135,04/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104168,04/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104184,04/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104193,30/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104203,05/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104212,05/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104218,05/02/2014,1,TRUE,3,1,FALSE,,,,,,,,,
104222,04/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104246,04/02/2014,0,TRUE,0,1,FALSE,,,,,,,,,
104261,04/02/2014,1,TRUE,0,1,FALSE,,,,,,,,,
104316,01/02/2014,0,TRUE,1,1,FALSE,,,,,,,,,
104370,03/02/2014,0,TRUE,0,2,FALSE,,,,,,,,,
104381,18/01/2014,0,TRUE,1,3,FALSE,,,,,,,,,
104390,04/02/2014,0,TRUE,3,1,FALSE,,,,,,,,,
